time,noaa,sg
2024-04-05T00:00:00+00:00,3.3,2.36
2024-04-05T01:00:00+00:00,3.86,2.82
2024-04-05T02:00:00+00:00,4.41,3.29
2024-04-05T03:00:00+00:00,4.97,3.75
2024-04-05T04:00:00+00:00,5.41,3.88
2024-04-05T05:00:00+00:00,5.86,4.0
2024-04-05T06:00:00+00:00,6.3,4.13
2024-04-05T07:00:00+00:00,6.27,4.39
2024-04-05T08:00:00+00:00,6.25,4.66
2024-04-05T09:00:00+00:00,6.22,4.92
2024-04-05T10:00:00+00:00,6.04,4.62
2024-04-05T11:00:00+00:00,5.87,4.33
2024-04-05T12:00:00+00:00,5.69,4.03
2024-04-05T13:00:00+00:00,4.71,3.97
2024-04-05T14:00:00+00:00,3.73,3.9
2024-04-05T15:00:00+00:00,2.75,3.84
2024-04-05T16:00:00+00:00,2.86,4.36
2024-04-05T17:00:00+00:00,2.96,4.87
2024-04-05T18:00:00+00:00,3.07,5.39
2024-04-05T19:00:00+00:00,3.0,5.19
2024-04-05T20:00:00+00:00,2.94,4.99
2024-04-05T21:00:00+00:00,2.87,4.79
2024-04-05T22:00:00+00:00,3.15,4.6
2024-04-05T23:00:00+00:00,3.44,4.4
2024-04-06T00:00:00+00:00,4.95,3.72
2024-04-06T01:00:00+00:00,5.23,3.55
2024-04-06T02:00:00+00:00,5.51,3.39
2024-04-06T03:00:00+00:00,5.79,3.22
2024-04-06T04:00:00+00:00,5.9,3.51
2024-04-06T05:00:00+00:00,6.01,3.79
2024-04-06T06:00:00+00:00,6.12,4.08
2024-04-06T07:00:00+00:00,5.93,4.33
2024-04-06T08:00:00+00:00,5.75,4.58
2024-04-06T09:00:00+00:00,5.56,4.83
2024-04-06T10:00:00+00:00,4.88,4.36
2024-04-06T11:00:00+00:00,4.2,3.9
2024-04-06T12:00:00+00:00,3.52,3.43
2024-04-06T13:00:00+00:00,3.59,3.21
2024-04-06T14:00:00+00:00,3.65,2.98
2024-04-06T15:00:00+00:00,3.72,2.76
2024-04-06T16:00:00+00:00,3.49,2.89
2024-04-06T17:00:00+00:00,3.26,3.02
2024-04-06T18:00:00+00:00,3.03,3.15
2024-04-06T19:00:00+00:00,2.71,2.99
2024-04-06T20:00:00+00:00,2.38,2.84
2024-04-06T21:00:00+00:00,2.06,2.68
2024-04-06T22:00:00+00:00,2.27,2.52
2024-04-06T23:00:00+00:00,2.48,2.37
2024-04-07T00:00:00+00:00,2.77,2.74
2024-04-07T01:00:00+00:00,3.62,3.07
2024-04-07T02:00:00+00:00,4.48,3.39
2024-04-07T03:00:00+00:00,5.33,3.72
2024-04-07T04:00:00+00:00,5.68,4.12
2024-04-07T05:00:00+00:00,6.04,4.53
2024-04-07T06:00:00+00:00,6.39,4.93
2024-04-07T07:00:00+00:00,6.34,5.04
2024-04-07T08:00:00+00:00,6.3,5.14
2024-04-07T09:00:00+00:00,6.25,5.25
2024-04-07T10:00:00+00:00,5.87,4.89
2024-04-07T11:00:00+00:00,5.48,4.53
2024-04-07T12:00:00+00:00,5.1,4.17
2024-04-07T13:00:00+00:00,4.6,4.14
2024-04-07T14:00:00+00:00,4.09,4.11
