time,meteo
2024-04-05T00:00:00+00:00,3.82
2024-04-05T01:00:00+00:00,4.27
2024-04-05T02:00:00+00:00,4.3
2024-04-05T03:00:00+00:00,4.56
2024-04-05T04:00:00+00:00,5.66
2024-04-05T05:00:00+00:00,6.02
2024-04-05T06:00:00+00:00,5.95
2024-04-05T07:00:00+00:00,6.04
2024-04-05T08:00:00+00:00,6.8
2024-04-05T09:00:00+00:00,7.69
2024-04-05T10:00:00+00:00,8.95
2024-04-05T11:00:00+00:00,9.17
2024-04-05T12:00:00+00:00,9.66
2024-04-05T13:00:00+00:00,9.53
2024-04-05T14:00:00+00:00,7.61
2024-04-05T15:00:00+00:00,5.39
2024-04-05T16:00:00+00:00,5.67
2024-04-05T17:00:00+00:00,6.28
2024-04-05T18:00:00+00:00,5.78
2024-04-05T19:00:00+00:00,5.59
2024-04-05T20:00:00+00:00,5.87
2024-04-05T21:00:00+00:00,5.95
2024-04-05T22:00:00+00:00,6.26
2024-04-05T23:00:00+00:00,6.48
2024-04-06T00:00:00+00:00,5.36
2024-04-06T01:00:00+00:00,5.34
2024-04-06T02:00:00+00:00,5.68
2024-04-06T03:00:00+00:00,6.36
2024-04-06T04:00:00+00:00,6.94
2024-04-06T05:00:00+00:00,7.16
2024-04-06T06:00:00+00:00,6.85
2024-04-06T07:00:00+00:00,6.88
2024-04-06T08:00:00+00:00,6.66
2024-04-06T09:00:00+00:00,6.41
2024-04-06T10:00:00+00:00,6.35
2024-04-06T11:00:00+00:00,6.69
2024-04-06T12:00:00+00:00,6.46
2024-04-06T13:00:00+00:00,6.3
2024-04-06T14:00:00+00:00,6.28
2024-04-06T15:00:00+00:00,6.4
2024-04-06T16:00:00+00:00,5.96
2024-04-06T17:00:00+00:00,6.04
2024-04-06T18:00:00+00:00,6.11
2024-04-06T19:00:00+00:00,6.26
2024-04-06T20:00:00+00:00,5.66
2024-04-06T21:00:00+00:00,5.16
2024-04-06T22:00:00+00:00,4.54
2024-04-06T23:00:00+00:00,4.36
2024-04-07T00:00:00+00:00,3.79
2024-04-07T01:00:00+00:00,4.07
2024-04-07T02:00:00+00:00,5.41
2024-04-07T03:00:00+00:00,6.31
2024-04-07T04:00:00+00:00,6.89
2024-04-07T05:00:00+00:00,6.84
2024-04-07T06:00:00+00:00,7.33
2024-04-07T07:00:00+00:00,7.65
2024-04-07T08:00:00+00:00,7.56
2024-04-07T09:00:00+00:00,7.61
2024-04-07T10:00:00+00:00,7.78
2024-04-07T11:00:00+00:00,7.92
2024-04-07T12:00:00+00:00,7.36
2024-04-07T13:00:00+00:00,7.13
2024-04-07T14:00:00+00:00,6.8
2024-04-07T15:00:00+00:00,6.47
2024-04-07T16:00:00+00:00,5.94
2024-04-07T17:00:00+00:00,4.96
2024-04-07T18:00:00+00:00,4.13
2024-04-07T19:00:00+00:00,3.9
2024-04-07T20:00:00+00:00,4.12
2024-04-07T21:00:00+00:00,4.04
2024-04-07T22:00:00+00:00,4.12
2024-04-07T23:00:00+00:00,4.2
2024-04-08T00:00:00+00:00,3.8
2024-04-08T01:00:00+00:00,4.64
2024-04-08T02:00:00+00:00,4.81
2024-04-08T03:00:00+00:00,5.15
2024-04-08T04:00:00+00:00,5.7
2024-04-08T05:00:00+00:00,6.75
2024-04-08T06:00:00+00:00,6.98
2024-04-08T07:00:00+00:00,6.98
2024-04-08T08:00:00+00:00,7.11
2024-04-08T09:00:00+00:00,7.02
2024-04-08T10:00:00+00:00,7.32
2024-04-08T11:00:00+00:00,7.79
2024-04-08T12:00:00+00:00,8.65
2024-04-08T13:00:00+00:00,9.13
2024-04-08T14:00:00+00:00,8.1
2024-04-08T15:00:00+00:00,7.07
2024-04-08T16:00:00+00:00,6.61
2024-04-08T17:00:00+00:00,6.36
2024-04-08T18:00:00+00:00,5.95
2024-04-08T19:00:00+00:00,5.35
2024-04-08T20:00:00+00:00,5.35
2024-04-08T21:00:00+00:00,4.97
2024-04-08T22:00:00+00:00,4.95
2024-04-08T23:00:00+00:00,4.44
2024-04-09T00:00:00+00:00,5.2
2024-04-09T01:00:00+00:00,6.2
